a,b,mean
4.26E+00,8.00E+00,5.50798E+15
4.25E+00,8.00E+00,5.47122E+15
4.26E+00,7.99E+00,4.95647E+15
4.27E+00,7.98E+00,4.70134E+15
4.24E+00,8.04E+00,7.43471E+15
4.22E+00,8.03E+00,7.12884E+15
4.25E+00,8.06E+00,9.1401E+15
4.25E+00,8.07E+00,1.00889E+16
4.26E+00,8.02E+00,6.51753E+15
4.29E+00,8.02E+00,6.71143E+15
4.30E+00,7.98E+00,4.90866E+15
4.32E+00,7.98E+00,5.03226E+15
4.30E+00,7.98E+00,4.9367E+15
4.33E+00,8.04E+00,8.12121E+15
4.36E+00,8.05E+00,9.31309E+15
4.39E+00,8.06E+00,9.95836E+15
4.39E+00,8.06E+00,1.00001E+16
4.37E+00,8.03E+00,8.27521E+15
